resolution,n_clusters,overall_score,silhouette_score_normalized_contribution,davies_bouldin_score_normalized_contribution,calinski_harabasz_score_normalized_contribution,avg_marker_genes_normalized_contribution,marker_gene_score_normalized_contribution,marker_gene_significance_normalized_contribution,cluster_separation_score_normalized_contribution
0.05,6,0.37280380399158863,0.0,0.0,0.22,0.0,0.08,0.009121521596635453,0.0
0.13,12,0.7290829567284057,0.2158403,0.12232343558663682,0.05770577903748076,0.0,0.08,0.0781702255469374,0.027330736
0.22,14,0.7794034222738881,0.26420495,0.1699098208537048,0.09422533395740025,0.0,0.08,0.07167895925178053,0.029228473
0.3,19,0.832956277634536,0.28352478,0.19138338900024973,0.024370068817022986,0.0,0.08,0.08,0.040843975
0.38,21,0.8655349205275662,0.31384307,0.21280688217501662,0.061546346715474036,0.0,0.08,0.07238782282873918,0.04383879
0.47,22,0.8687881107799215,0.35,0.22,0.04976351491086388,0.0,0.08,0.06889890470886115,0.043480266
0.55,23,0.684034511500088,0.33018968,0.19388145277397786,0.0175592530762636,0.0,0.08,0.006188562877820237,0.045235958
0.63,23,0.6821194431452159,0.33434963,0.1915202858053328,0.03747698213656586,0.0,0.08,0.0011714912578442305,0.045452084
0.72,25,0.4095601029712317,0.2908077,0.18106839546268463,0.005773701138283612,0.0,0.0,0.0,0.05
0.8,26,0.3991204520695031,0.29538918,0.16260617444407713,0.0,0.0,0.0,0.003407732617540567,0.047523465
