gene,score,pval,pval_adj
Sntb1,12.844631,9.219073331730842e-38,3.1064589498600245e-33
Bnc2,12.755294,2.9127349204511774e-37,4.907375793976143e-33
Plce1,12.412243,2.242793910598424e-35,2.51910612038415e-31
Gm29683,12.221756,2.3789139755619765e-34,2.003997133013409e-30
Fabp7,12.052307,1.8859610339943807e-33,1.270986860029493e-29
Gsap,11.729541,8.994555123583461e-32,5.051342157404471e-28
Zfhx3,11.659463,2.0533316769013614e-31,9.884152026409754e-28
Col11a1,11.49924,1.33082608218142e-30,5.605439458148141e-27
Gm34838,11.303087,1.26684440651357e-29,4.743065457986806e-26
Gm10863,11.242396,2.524345472564924e-29,8.506034504354768e-26
Ptn,11.0366955,2.54210413322158e-28,7.787158261184942e-25
Sash1,10.880734,1.4241138332049342e-27,3.9989116436394546e-24
Apod,10.767229,4.915734809823023e-27,1.2741584627061276e-23
Atp1a2,10.748132,6.047409980130163e-27,1.412762372866878e-23
Gm29521,10.744517,6.2890062894715016e-27,1.412762372866878e-23
Cdh19,10.592386,3.232460188762027e-26,6.807561157532828e-23
Syne2,10.415223,2.113016576304995e-25,4.188247444421947e-22
Slc4a4,10.344174,4.447324615869344e-25,8.325391680907411e-22
Stard13,10.270482,9.572467324124426e-25,1.6976518892299824e-21
Phldb2,10.030525,1.1191987652002407e-23,1.8856260796093656e-20
