gene,score,pval,pval_adj
Flt1,11.754057,6.730781642076439e-32,2.268004182114077e-27
Slco1a4,10.491784,9.423219564762755e-26,1.587624032271229e-21
Ebf1,9.970172,2.058713240202342e-23,2.3123467113952705e-19
Ptprb,9.653208,4.764177497582717e-22,4.013343123963681e-18
Mecom,9.244929,2.353957206754388e-20,1.5863788407759173e-16
Adgrl4,7.3256445,2.3775330631372745e-13,1.3352225682578933e-09
Cyyr1,6.9758105,3.0411211177234352e-12,1.4481047624567613e-08
Tek,6.4719725,9.673182924618287e-11,3.621639686977086e-07
Lef1,6.044213,1.5014106823351592e-09,4.599230395633229e-06
Abcb1a,5.4336424,5.52151232792982e-08,6.201762646730774e-05
Epas1,5.312369,1.0820938858223908e-07,0.00010128398771297577
Hmcn1,4.9768457,6.462876021461432e-07,0.0002865435137094269
Slco1c1,4.931974,8.140274648792425e-07,0.0003303449268515091
Pdgfd,4.839045,1.304644583910095e-06,0.0004147292820701374
Ccdc141,4.6656976,3.075715482786147e-06,0.0006397488204195186
Emcn,4.58768,4.481991577303985e-06,0.0007779736929545209
Erg,4.282487,1.8481590873819208e-05,0.0014224100750879025
Prom1,4.2480483,2.1564082887815666e-05,0.0015074984424215143
Ets1,4.2185955,2.4582885053669556e-05,0.0016318701956914163
Fli1,4.105031,4.0426055473073016e-05,0.0020859276621444443
