gene,score,pval,pval_adj
Zbtb20,10.236232,1.364475820023711e-24,4.0189949037932e-20
Igfbpl1,10.172695,2.6254245774557435e-24,4.0189949037932e-20
Sncaip,10.142502,3.578164978448362e-24,4.0189949037932e-20
Sox11,9.448284,3.44430511998125e-21,2.901482633072205e-17
Ttc28,9.133338,6.64193964494584e-20,4.476135965521901e-16
Nfia,8.727661,2.599925464154486e-18,1.4601181406691592e-14
Prox1,8.676052,4.097456752411301e-18,1.9723986104178743e-14
2610307P16Rik,7.62743,2.3947947074677015e-14,8.069500246283167e-11
Sema3c,7.5751452,3.5872576364796804e-14,9.298171793755333e-11
Mir99ahg,7.2847285,3.2231897942562933e-13,7.240573553817337e-10
Zfpm2,7.2393823,4.5073251810888477e-13,8.437712738998322e-10
Ezh2,7.0713882,1.5339113980501877e-12,2.461270403271387e-09
Nfib,7.051285,1.7727344974962936e-12,2.7151846194379593e-09
Frmd4b,6.669088,2.5739794601449153e-11,2.3441300510552184e-08
Mtss1,6.5407014,6.123097978274338e-11,4.074639568995524e-08
Sema5a,6.5385637,6.211251584263546e-11,4.074639568995524e-08
Ptpro,5.8095393,6.26449879764986e-09,1.4658927186500672e-06
Adamts18,5.4995813,3.806944025068069e-08,5.938832679106188e-06
Dcc,5.4702506,4.493994783815344e-08,6.760252153367939e-06
Gm11266,5.3142962,1.0707019521653966e-07,1.3412034565117175e-05
