gene,score,pval,pval_adj
Bnc2,13.285179,2.821822228983117e-40,9.508412182781511e-36
Cped1,12.480458,9.543551250327091e-36,1.4237939354555812e-31
Tbx15,12.457837,1.267622805783103e-35,1.4237939354555812e-31
Foxp2,12.315908,7.437320897494051e-35,6.265199124048988e-31
Adamtsl3,11.802948,3.768709592440416e-32,2.5398087685374454e-28
Phldb2,11.645402,2.421762671912306e-31,1.3600619165459511e-27
Slc38a2,11.408823,3.778080685461879e-30,1.8186600968189067e-26
Slc47a1,10.89539,1.2124636452590868e-27,5.1068968738312735e-24
Hmcn1,10.811955,3.021606148718669e-27,1.0340426576670783e-23
Gulp1,10.810535,3.0687400809208162e-27,1.0340426576670783e-23
Eya2,10.734626,7.00022773122079e-27,2.1443606693746883e-23
Prdm6,10.669695,1.4108872255279192e-26,3.9617713292823966e-23
Slc26a7,10.594779,3.15084541775495e-26,8.16699132282083e-23
Ddr2,10.359477,3.79028101142157e-25,9.122664925775802e-22
Fbxl7,10.172495,2.6308297394664666e-24,5.9098959267374706e-21
Gm6260,10.087357,6.28391215798779e-24,1.3233919004722285e-20
Efemp1,10.009412,1.3857455295737248e-23,2.7467106685009546e-20
Itgbl1,9.886034,4.786142752220397e-23,8.959659232156582e-20
Egfr,9.497162,2.1568931752035815e-21,3.825193285876836e-18
Bmp5,9.473025,2.7185304581576386e-21,4.58018011590399e-18
