gene,score,pval,pval_adj
Lhfpl3,11.387934,4.802424776777607e-30,1.6182250527829824e-25
Sox6,11.0001135,3.8165330604644205e-28,6.430094900270455e-24
Kcnh8,10.867444,1.647511857729977e-27,1.8504853186023098e-23
Vcan,10.68949,1.1399517874483298e-26,9.602953857464729e-23
Ptprz1,10.629529,2.1720739351668606e-26,1.4638040663876507e-22
Pdgfra,10.572335,4.003996307437174e-26,2.248644326256717e-22
Cacng4,10.157041,3.0829359564544422e-24,1.4840372855526983e-20
Arhgap31,10.000815,1.511479534543992e-23,6.366351799499294e-20
Pcdh11x,9.940383,2.7775757429280936e-23,1.0399243581522781e-19
Sox2ot,9.878122,5.179415915973028e-23,1.7452559870462714e-19
Nxph1,9.86543,5.878188315610763e-23,1.800649395298366e-19
Epn2,9.760966,1.6556929870244191e-22,4.649185907564568e-19
Sema3d,9.751774,1.8127251278108375e-22,4.698583531285691e-19
Gm4876,9.72545,2.3486655201558355e-22,5.652902383369359e-19
Stk32a,9.639476,5.44654551697628e-22,1.2235119849335515e-18
Nova1,9.611062,7.180479599605216e-22,1.5122090036768583e-18
Shc4,9.434466,3.9299079318194415e-21,7.789539862975758e-18
Gm56750,9.321437,1.1477567986447451e-20,2.1486007270629626e-17
Maml2,9.302946,1.3660651636800817e-20,2.4226806187033702e-17
Megf11,9.232224,2.650684172842393e-20,4.465872694404864e-17
