resolution,n_clusters,overall_score,silhouette_score_normalized_contribution,davies_bouldin_score_normalized_contribution,calinski_harabasz_score_normalized_contribution,avg_marker_genes_normalized_contribution,marker_gene_score_normalized_contribution,marker_gene_significance_normalized_contribution,cluster_separation_score_normalized_contribution
0.05,7,0.45,0.0,0.22,0.22,0.0,0.08,0.0,0.0
0.13,12,0.5524117881658356,0.14633134,0.0,0.11894474625905752,0.0,0.08,0.05510325171900261,0.011968607
0.22,14,0.654093634050023,0.35,0.05155999118119381,0.11784205340427541,0.0,0.08,0.055289960411990434,0.009716949
0.3,18,0.7579350037952377,0.32657132,0.17890386230672042,0.06873279996701946,0.0,0.08,0.06711115622854412,0.021908963
0.38,19,0.6937747265195977,0.13309899,0.08504608781656538,0.04564550727599827,0.0,0.08,0.08,0.031831756
0.47,23,0.7624248560892509,0.22251,0.1865557255717774,0.023160908281143987,0.0,0.08,0.06371823059091607,0.040610526
0.55,25,0.6982719702713367,0.21513677,0.02710088226745452,0.013037045485740384,0.0,0.08,0.0615469406373436,0.04598966
0.63,25,0.7312750377388112,0.2509147,0.009975500717332022,0.0161636794491277,0.0,0.08,0.07242093528508271,0.045201596
0.72,26,0.3824038464750352,0.29600832,0.06795482751596794,0.018981405233367808,0.0,0.0,0.021752794702829342,0.04041117
0.8,30,0.4514430897885822,0.28944698,0.0745759985287449,0.0,0.0,0.0,0.03739847831581429,0.05
