gene,score,pval,pval_adj
Slc1a3,13.257309,4.093241537838639e-40,1.3792586685901077e-35
Atp1a2,12.191973,3.430173524047064e-34,5.7791563533144935e-30
Gli3,11.19254,4.43543101308468e-29,4.981876113896713e-25
Lama2,10.423717,1.9325008649448474e-25,1.0852924857530263e-21
Plpp3,10.397463,2.546233754957457e-25,1.225684180100664e-21
Prdm16,8.38756,4.963356317518365e-17,1.4054223065134356e-14
Slco1c1,8.202762,2.349264705946838e-16,5.1808350697095773e-14
Nhsl1,8.009712,1.1497727430167917e-15,1.8948363089746166e-13
Rgs20,8.0028,1.2162114171028279e-15,1.98939125780082e-13
Gm6145,7.7482405,9.3174566996313e-15,1.117100530586007e-12
Bmpr1b,7.2883077,3.1387277106266677e-13,2.2265803986794988e-11
Ptprz1,7.1526423,8.512316791366718e-13,5.253315505529175e-11
Dock1,6.965058,3.2826870092718997e-12,1.7004247376888187e-10
Nwd1,6.7564163,1.414465344158628e-11,6.173811429633306e-10
Slc7a11,6.729144,1.706640366395453e-11,7.188369223257647e-10
Rfx4,6.7062654,1.9966859881884257e-11,8.285755056403595e-10
Sox6,6.487336,8.736714458548558e-11,3.0751744881070056e-09
Npas3,6.2447786,4.2440095077208624e-10,1.2603979988573987e-08
Tnc,5.971841,2.3459147613310965e-09,5.791058153685907e-08
Apoe,5.9627323,2.4805493353128952e-09,6.092171312150388e-08
