gene,score,pval,pval_adj
Gpc5,12.649278,1.1290756670373548e-36,3.8045333676490704e-32
Ptprd,11.586577,4.820098113870037e-31,8.120901302248239e-27
Kcnh7,11.4641485,1.9971423986317034e-30,2.243190342143129e-26
Hs6st3,10.943326,7.152649624590074e-28,6.025392043754678e-24
Pdzrn3,10.84307,2.1512817135877836e-27,1.4497917724210792e-23
Fat3,10.59909,3.008961436085922e-26,1.6898327425058535e-22
Nrg1,10.494181,9.187152886513391e-26,4.422432909485075e-22
Gm2164,10.362047,3.6897814991469366e-25,1.5541359674406897e-21
Arpp21,10.299809,7.060114230610629e-25,2.1627055374059614e-21
Cpne8,10.289148,7.887095593084971e-25,2.1627478498841757e-21
Dpp10,10.283725,8.343934606034628e-25,2.1627478498841757e-21
Mlip,10.136012,3.823925932046598e-24,9.203643443303012e-21
Xylt1,10.08284,6.579639441878665e-24,1.4780502042236233e-20
Ptprt,9.997127,1.5688364857505453e-23,3.303969638990648e-20
Syt16,9.783241,1.3288583508772458e-22,2.487622832842204e-19
Ext1,9.773803,1.45871596749485e-22,2.586994381089814e-19
Man1a,9.749051,1.8620039938763967e-22,3.1371043288829534e-19
Sgcz,9.7345085,2.148536913056576e-22,3.4474809439216374e-19
Satb2,9.698963,3.0457867910869364e-22,4.665037805112064e-19
Dscam,9.680007,3.6669084970008275e-22,5.37218037891043e-19
