gene,score,pval,pval_adj
Vwc2l,8.365793,5.97116645270121e-17,9.49077475425566e-15
Tshz2,8.12284,4.554008311022113e-16,6.041411970401619e-14
Cdc14a,7.369252,1.7158798380393042e-13,1.2763418768779778e-11
Wfs1,6.385625,1.7069920115923026e-10,5.706230438751411e-09
Camk2d,5.2503347,1.5182296944274546e-07,2.4029247432328565e-06
Cntnap5b,5.066807,4.045440717420901e-07,5.820459881051011e-06
Sgcd,4.8865867,1.0259929513166687e-06,1.3525766231442282e-05
Pparg,4.823328,1.411824288682767e-06,1.7945239996776506e-05
Unc13c,4.6609564,3.1474343606281205e-06,3.7108449340701594e-05
Pbx3,4.642635,3.439935827419468e-06,4.013576095593019e-05
Meis2,4.513021,6.391063962521387e-06,7.028501673665818e-05
Cobl,4.4257193,9.612138157495996e-06,0.00010153310575391382
Ptprk,4.3618836,1.2894742501905072e-05,0.0001322280107559931
Cdh20,4.330543,1.4874192393385118e-05,0.00015069175793370565
Hmcn1,4.2988353,1.7169795823244897e-05,0.00017106843289771143
Il1rapl2,4.265605,1.9936117771447407e-05,0.00019533801233692695
Prlr,4.2510633,2.1275781480401535e-05,0.00020713918889442648
Asic2,4.2385693,2.2494870293568347e-05,0.0002174375070028913
Tmem164,4.068008,4.741672583176523e-05,0.00042720695016769015
Tmem255a,4.045277,5.226126103448449e-05,0.0004665934110755151
