gene,score,pval,pval_adj
Cdh18,13.85164,1.2434031705775544e-43,4.189771323578127e-39
Tle4,13.605092,3.734999903697981e-42,6.292727837750358e-38
Hs3st4,12.975044,1.694988349542657e-38,1.9038109142063122e-34
Grik3,12.877452,6.029339882375812e-38,5.079115916913384e-34
Dlc1,12.73357,3.8483150930758385e-37,2.593456507525669e-33
Rai14,12.477986,9.84445728258676e-36,5.528647209900724e-32
Etl4,12.437576,1.6338743782422912e-35,7.865004435607463e-32
Cntnap4,12.183787,3.7925408670977067e-34,1.597418213221554e-30
Foxp2,11.224884,3.0778860939952126e-29,1.1523605535918075e-25
Grm3,10.879382,1.4453884339821851e-27,4.8703808671463714e-24
Htr1f,10.35918,3.8020696551506805e-25,1.0836246839139355e-21
Dpp10,10.357757,3.859062264650768e-25,1.0836246839139355e-21
Sdk2,10.262888,1.0356266242071353e-24,2.684344209944895e-21
Frmpd4,10.168513,2.7405897759340972e-24,6.596208077848239e-21
Fut9,10.095984,5.7550526239258984e-24,1.2928150214387138e-20
Mmp16,10.032925,1.0923264926112162e-23,2.3004395934392213e-20
Slc35f1,9.618298,6.692995327968936e-22,1.3266304151249486e-18
Garnl3,9.55109,1.2833825886679579e-21,2.402492205986417e-18
Pbx1,9.373544,7.013748233696755e-21,1.2438697920139257e-17
Olfm3,9.350584,8.716494391053862e-21,1.4685549750047547e-17
