gene,score,pval,pval_adj
Cped1,10.962268,5.802695014636114e-28,1.9552761121317848e-23
Phldb2,10.318435,5.816385150625103e-25,9.799445701773174e-21
Ebf1,9.521333,1.709720133901476e-21,1.7271724244873867e-17
Slc6a20a,9.5024395,2.0502996492015512e-21,1.7271724244873867e-17
Atp1a2,9.389809,6.010950353052182e-21,4.0508996619289264e-17
Pdgfd,9.355999,8.281321351140465e-21,4.650790070800485e-17
Sparc,9.292823,1.5025019471046307e-20,7.232615087091091e-17
Arhgap29,9.218442,3.0144774730886465e-20,1.2696979116649378e-16
Cald1,9.204189,3.442600933369441e-20,1.2889097894535184e-16
Col1a2,8.861921,7.864741295564784e-19,2.65010322695351e-15
Uaca,8.817173,1.1738537134556854e-18,3.595834066236616e-15
Rbpms,8.561218,1.1168139932105164e-17,3.13601369293513e-14
Flt1,8.548291,1.2492458545548095e-17,3.2380452550060666e-14
Nxn,8.404369,4.301654459645775e-17,1.0353467762301716e-13
Lama2,8.177782,2.8911662808847024e-16,6.494715933379395e-13
Zic1,8.138934,3.9877195442297607e-16,8.398137360147876e-13
Ahnak,8.127334,4.3883786032442855e-16,8.698282671465849e-13
Igfbp7,8.061969,7.50753914288625e-16,1.4054113275483057e-12
Epas1,7.9255385,2.271593837827658e-15,3.7414594264312056e-12
Cfh,7.925141,2.278876972713427e-15,3.7414594264312056e-12
