gene,score,pval,pval_adj
Kcnq5,11.75971,6.294979768403767e-32,1.604110868980228e-27
Schip1,11.724724,9.521075908002303e-32,1.604110868980228e-27
Nell2,11.433866,2.832146335158189e-30,2.6656856961400575e-26
Cnksr2,11.417444,3.421471235872713e-30,2.6656856961400575e-26
Zbtb20,11.395877,4.383948534001623e-30,2.6656856961400575e-26
Msra,11.388953,4.7465913392807294e-30,2.6656856961400575e-26
Epha4,11.257034,2.1383478870980896e-29,9.508420466244218e-26
Galnt17,11.2522545,2.2574597498205647e-29,9.508420466244218e-26
Tenm2,11.188716,4.6309256538408916e-29,1.6366185985561165e-25
Lsamp,11.184488,4.8570115104348186e-29,1.6366185985561165e-25
Ryr3,11.13737,8.252063406987208e-29,2.5278320778349175e-25
Opcml,11.129527,9.011256547396877e-29,2.530360838509043e-25
Aff3,11.119662,1.0065256050626928e-28,2.6089143683225e-25
Clstn2,11.056552,2.037819815828732e-28,4.904741179583211e-25
Rapgef2,11.037435,2.521283254985782e-28,5.663810704000061e-25
Ppp3ca,11.004961,3.6167385232849336e-28,7.498949023384971e-25
Gabrb3,10.995096,4.0348470415088188e-28,7.498949023384971e-25
Psd3,10.993135,4.1234910331463525e-28,7.498949023384971e-25
Lingo1,10.990868,4.228395994904868e-28,7.498949023384971e-25
Cntnap2,10.981187,4.706975496547553e-28,7.930312316583318e-25
