resolution,n_clusters,overall_score,silhouette_score_normalized_contribution,davies_bouldin_score_normalized_contribution,calinski_harabasz_score_normalized_contribution,avg_marker_genes_normalized_contribution,marker_gene_score_normalized_contribution,marker_gene_significance_normalized_contribution,cluster_separation_score_normalized_contribution
0.05,6,0.7092209364573908,0.35,0.22,0.22,0.0,0.08,0.043688372198770545,0.0
0.13,10,0.5840366809677041,0.0,0.10618858466130253,0.12299691836633496,0.0,0.08,0.036038171902318915,0.034941506
0.22,13,0.3945521510211164,0.0071381866,0.14446610390022446,0.08627755395455428,0.0,0.0,0.06685260181226503,0.029869486
0.3,15,0.745749517359489,0.17556597,0.04516464576699925,0.10039698234811686,0.0,0.08,0.08,0.038585644
0.38,15,0.7701117868186766,0.20748557,0.05067042953519449,0.10792394592497193,0.0,0.08,0.07002510859799435,0.046009567
0.47,16,0.6091960247622299,0.1984321,0.0,0.08179520660329657,0.0,0.08,0.020488115032823308,0.04643844
0.55,17,0.6119055095258343,0.19032058,0.02814049326181605,0.06261262263903146,0.0,0.08,0.024346634340821658,0.044555385
0.63,18,0.5705314125347697,0.16153078,0.03093727436870967,0.04875982043680415,0.0,0.08,0.012045430976840382,0.0462411
0.72,19,0.5048425546109552,0.113222405,0.013413738873000196,0.01354068076320805,0.0,0.08,0.0007461886888008847,0.048050296
0.8,20,0.5052560354880427,0.09466729,0.03230553799333721,0.0,0.0,0.08,0.0,0.05
