gene,score,pval,pval_adj
Slc1a3,14.318999,1.6650344556516769e-46,5.61050010176389e-42
Atp1a2,14.201474,8.970508797194787e-46,1.5113513221513775e-41
Plpp3,14.011784,1.3204619722831656e-44,1.4831428872684515e-40
Gli3,13.291927,2.578486352906247e-40,2.172116903688222e-36
Slc1a2,13.015676,9.965684942879906e-39,6.716074396705627e-35
Nhsl1,12.895731,4.757323669338226e-38,2.6717129727003476e-34
Slco1c1,12.783232,2.0343691089330793e-37,9.792871642087006e-34
Lama2,12.565122,3.2836872080324506e-36,1.3830890520232682e-32
Pla2g7,12.270441,1.305409467995715e-34,4.887453048175956e-31
Slc7a11,12.215464,2.5703308227747186e-34,8.660986740421692e-31
Gpc5,12.16998,4.491939317901966e-34,1.3619697650728242e-30
Slc4a4,12.1637125,4.850319676185271e-34,1.3619697650728242e-30
Prex2,12.140568,6.437799426396342e-34,1.668677611321932e-30
Gm6145,11.853209,2.071067498507881e-32,4.984763602122969e-29
Apoe,11.728485,9.107372335503469e-32,2.0458801214474994e-28
Phkg1,11.69535,1.3463092574818024e-31,2.835327296256676e-28
Rorb,11.604445,3.9121743188486883e-31,7.754389755760317e-28
Slc39a12,11.356488,6.885715619168327e-30,1.2890059639083107e-26
Gja1,11.197576,4.1904628855620425e-29,7.43167565220519e-26
Ptprz1,11.192053,4.4598759242134345e-29,7.513998957114795e-26
