gene,score,pval,pval_adj
Zbtb20,16.52945,2.2518827844447724e-61,7.587944230465104e-57
Shisa6,16.035517,7.21803409141611e-58,1.216094383721786e-53
Sema3e,15.378767,2.272330108247169e-53,2.5522811775832198e-49
Grik4,15.2714615,1.1848765658680057e-52,9.98140019087208e-49
Nr3c2,15.181194,4.7112731517511876e-52,3.175021202428161e-48
Nkain3,14.993545,8.091691641765594e-51,4.544294026015558e-47
Galnt17,14.7663355,2.4149111524589068e-49,1.1624692313322189e-45
Ryr3,14.591827,3.166016453122101e-48,1.3335261300550289e-44
Akap13,14.549413,5.89066223114636e-48,2.205463939341197e-44
Cacnb2,13.977538,2.1375608288633914e-44,7.202724968938084e-41
Thsd7b,13.933809,3.947309763065638e-44,1.209168634329634e-40
Dock4,13.909611,5.538009629111175e-44,1.555073103854418e-40
Msra,13.869144,9.74320805661612e-44,2.4775211767549594e-40
Chrna7,13.865202,1.0293594632766332e-43,2.4775211767549594e-40
Rnf182,13.841275,1.4363470195861211e-43,3.2266099447982623e-40
Gria1,13.806836,2.317898148675622e-43,4.88149350111086e-40
Iqgap2,13.757669,4.580554414216685e-43,9.079197737732083e-40
Susd6,13.743668,5.558727278686122e-43,1.040593746570042e-39
Zeb2,13.7038355,9.63000787105336e-43,1.707856553805337e-39
Epha4,13.663641,1.6739985248744245e-42,2.8203527147084307e-39
