gene,score,pval,pval_adj
Bnc2,9.213036,3.170301988126439e-20,1.068264957919085e-15
Slc47a1,8.92519,4.449366014687728e-19,7.496291861545883e-15
Mgp,8.778549,1.655973107681553e-18,1.8599889945479202e-14
Adamtsl3,8.513139,1.6928763887675853e-17,1.4260790698978138e-13
Slc38a2,8.470927,2.4344717780239767e-17,1.6406392206459185e-13
Foxp2,8.420506,3.748645990039309e-17,2.096307327448115e-13
Cped1,8.402926,4.354864462291312e-17,2.096307327448115e-13
Phldb2,8.297225,1.0657127227097412e-16,4.4887819880534296e-13
Slc26a7,8.240442,1.715750718566654e-16,6.423770690313552e-13
Tbx15,8.087325,6.098913252634181e-16,2.0550898096076137e-12
Gulp1,7.768602,7.935724928571125e-15,2.430928974483024e-11
Sned1,7.0411806,1.9061753333517716e-12,4.282032268841419e-09
Prdm6,7.018861,2.236844260749986e-12,4.663143192130164e-09
Eya2,7.0118065,2.352606667444587e-12,4.663143192130164e-09
Gja1,6.9731803,3.098553348306626e-12,5.165019153644446e-09
Zic4,6.9043703,5.042667682667102e-12,6.891470999717066e-09
Gm26740,6.8159,9.367545747722546e-12,1.0735354044303155e-08
Foxd1,6.6905384,2.223510096835292e-11,1.783890386261e-08
Nxn,6.6819806,2.3573439954669667e-11,1.841268893528665e-08
Efemp1,6.666368,2.622110759099389e-11,1.9071043031924933e-08
