gene,score,pval,pval_adj
Cux2,12.428991,1.81914619266808e-35,3.4923107963337365e-31
Trps1,12.4185505,2.0728340434079633e-35,3.4923107963337365e-31
Camk2d,12.343099,5.30734372705923e-35,5.961208474232927e-31
Necab1,12.226698,2.2385510031685805e-34,1.885755365069212e-30
Hs6st3,12.1805935,3.944032704641756e-34,2.6579625203121723e-30
Asap1,12.082239,1.3110025246369624e-33,7.36259017836118e-30
Cdh20,12.033084,2.380986400673813e-33,1.1461388251014972e-29
Ptprk,12.01826,2.849089581720609e-33,1.2000365318207205e-29
Adcy8,11.879903,1.5054298701081225e-32,5.63632943368481e-29
Hdac9,11.818802,3.121041404346362e-32,1.0516661116085501e-28
Epha3,11.466034,1.9541196458929905e-30,5.986001417091837e-27
Mlip,11.341254,8.196102816712643e-30,2.30146567093291e-26
Rspo2,11.191511,4.4872236394691055e-29,1.1630883673503922e-25
Angpt1,11.004212,3.646868632448383e-28,8.777491817070052e-25
Cux1,10.922874,8.961417934132518e-28,2.013092924723529e-24
Lingo2,10.848797,2.0206674023876817e-27,4.255525549428458e-24
Grm8,10.757876,5.4409296864242994e-27,1.0784562747867834e-23
Pdzrn3,10.707862,9.349615284899546e-27,1.7502479813331947e-23
Fhod3,10.614105,2.5623664358951587e-26,4.544289443364383e-23
Prickle2,10.51442,7.413584822652321e-26,1.2490407709204631e-22
