gene,score,pval,pval_adj
Qki,31.235088,3.558937627969136e-214,1.1992196231204801e-209
Dock10,29.544374,7.75600898531743e-192,1.3067323938462806e-187
Fchsd2,29.442635,1.5642408791491694e-190,1.7569553554603469e-186
Foxn3,29.2778,1.9885905129901748e-188,1.6751886481429233e-184
Dscam,29.00484,5.7167124372712904e-185,3.8526068457258684e-181
Dleu2,28.914165,7.923828739554565e-184,4.406944303152873e-180
Zeb1,28.909176,9.154976888078738e-184,4.406944303152873e-180
Chd9,28.824047,1.0719290769586072e-182,4.5149652721496536e-179
Rbm39,28.721315,2.0674059168130786e-181,7.740367752548165e-178
Mef2a,28.702751,3.5251361761062993e-181,1.1878298859007786e-177
Nav2,28.654625,1.4038729776463507e-180,4.300445804979221e-177
Srgap2,28.620008,3.787631449052936e-180,1.0635669108940644e-176
Gnaq,28.606033,5.652715379967043e-180,1.4374931420557332e-176
Tanc2,28.60411,5.972490499994143e-180,1.4374931420557332e-176
Epn2,28.595125,7.725325811740268e-180,1.714385693722867e-176
Picalm,28.593296,8.140482876176956e-180,1.714385693722867e-176
Pnisr,28.573431,1.437279413089751e-179,2.8488568884395436e-176
Plcl1,28.569992,1.5859050461560653e-179,2.9688142464041537e-176
Mbnl1,28.562586,1.9600938188076616e-179,3.476174806239104e-176
Clasp2,28.544983,3.242089288302158e-179,5.462272032931476e-176
